symbol,path,notes
plc,"./icons/PNGs/PLC.png","PLC"
passanger_black,"./icons/PNGs/Passanger black.png","Passanger black"
passanger,"./icons/PNGs/Passanger.png","Passanger"
phone_black,"./icons/PNGs/Phone black.png","Phone black"
phone,"./icons/PNGs/Phone.png","Phone"
platform_black,"./icons/PNGs/Platform black.png","Platform black"
platform,"./icons/PNGs/Platform.png","Platform"
plug_black,"./icons/PNGs/Plug black.png","Plug black"
plug,"./icons/PNGs/Plug.png","Plug"
plugin_black,"./icons/PNGs/Plugin black.png","Plugin black"
plugin,"./icons/PNGs/Plugin.png","Plugin"
price,"./icons/PNGs/Price.png","Price"
pulse_agent,"./icons/PNGs/Pulse-Agent.png","Pulse Agent"
pulse_client,"./icons/PNGs/Pulse-Client.png","Pulse Client"
pulse_server,"./icons/PNGs/Pulse-Server.png","Pulse Server"
question,"./icons/PNGs/Question.png","Question"
radio_black,"./icons/PNGs/Radio black.png","Radio black"
radio,"./icons/PNGs/Radio.png","Radio"
recycle,"./icons/PNGs/Recycle.png","Recycle"
regulatory_compliance,"./icons/PNGs/Regulatory Compliance.png","Regulatory Compliance"
reliability_neg,"./icons/PNGs/Reliability-Neg.png","Reliability Neg"
reliable_1,"./icons/PNGs/Reliable (1).png","Reliable (1)"
reliable_black,"./icons/PNGs/Reliable black.png","Reliable black"
reliable,"./icons/PNGs/Reliable.png","Reliable"
renewable_energy,"./icons/PNGs/Renewable-Energy.png","Renewable Energy"
retained_mag_black,"./icons/PNGs/Retained mag black.png","Retained mag black"
retained_mag,"./icons/PNGs/Retained mag.png","Retained mag"
robot_neg,"./icons/PNGs/Robot-neg.png","Robot neg"
robot,"./icons/PNGs/Robot.png","Robot"
rocket_neg,"./icons/PNGs/Rocket-Neg.png","Rocket Neg"
rocket,"./icons/PNGs/Rocket.png","Rocket"
sales_bootcamp,"./icons/PNGs/Sales-Bootcamp.png","Sales Bootcamp"
scalable_black,"./icons/PNGs/Scalable black.png","Scalable black"
scalable,"./icons/PNGs/Scalable.png","Scalable"
scalable_neg,"./icons/PNGs/Scalable_Neg.png","Scalable Neg"
scale_legal,"./icons/PNGs/Scale-Legal.png","Scale Legal"
seamless_interation,"./icons/PNGs/Seamless-Interation.png","Seamless Interation"
search_black,"./icons/PNGs/Search black.png","Search black"
search,"./icons/PNGs/Search.png","Search"
security_lock_neg,"./icons/PNGs/Security-Lock-Neg.png","Security Lock Neg"
security_lock,"./icons/PNGs/Security-Lock.png","Security Lock"
security_neg,"./icons/PNGs/Security-Neg.png","Security Neg"
security_control_integration,"./icons/PNGs/Security-control-integration.png","Security control integration"
security,"./icons/PNGs/Security.png","Security"
seemless_integration_neg,"./icons/PNGs/Seemless-Integration-Neg.png","Seemless Integration Neg"
self_managed_neg,"./icons/PNGs/Self-Managed-Neg.png","Self Managed Neg"
self_managed,"./icons/PNGs/Self-Managed.png","Self Managed"
sensor_black,"./icons/PNGs/Sensor black.png","Sensor black"
sensor,"./icons/PNGs/Sensor.png","Sensor"
server_black,"./icons/PNGs/Server black.png","Server black"
server,"./icons/PNGs/Server.png","Server"
serverless_black,"./icons/PNGs/Serverless black.png","Serverless black"
serverless,"./icons/PNGs/Serverless.png","Serverless"
simple_to_deploy_1,"./icons/PNGs/Simple-to-deploy(1).png","Simple to deploy(1)"
simple_to_deploy_neg,"./icons/PNGs/Simple-to-deploy-neg.png","Simple to deploy neg"
solar_panel,"./icons/PNGs/Solar-panel.png","Solar panel"
solar,"./icons/PNGs/Solar.png","Solar"
solution,"./icons/PNGs/Solution.png","Solution"
speech_buble_black,"./icons/PNGs/Speech buble black.png","Speech buble black"
speech,"./icons/PNGs/Speech.png","Speech"
stop_watch_black,"./icons/PNGs/Stop watch black.png","Stop watch black"
stopwatch,"./icons/PNGs/Stopwatch.png","Stopwatch"
sustainability,"./icons/PNGs/Sustainability.png","Sustainability"
tablet_black,"./icons/PNGs/Tablet black.png","Tablet black"
tablet,"./icons/PNGs/Tablet.png","Tablet"
tacho_black,"./icons/PNGs/Tacho black.png","Tacho black"
tacho,"./icons/PNGs/Tacho.png","Tacho"
target,"./icons/PNGs/Target.png","Target"
thermal_plant,"./icons/PNGs/Thermal-Plant.png","Thermal Plant"
topic,"./icons/PNGs/Topic.png","Topic"
troubleshooting,"./icons/PNGs/Troubleshooting.png","Troubleshooting"
turbine_wind_energy,"./icons/PNGs/Turbine wind energy.png","Turbine wind energy"
turbine_multi,"./icons/PNGs/Turbine-Multi.png","Turbine Multi"
two_gears_black,"./icons/PNGs/Two gears black.png","Two gears black"
unrel_network,"./icons/PNGs/Unrel network.png","Unrel network"
unreliable_network_black,"./icons/PNGs/Unreliable network black.png","Unreliable network black"
user,"./icons/PNGs/User.png","User"
vent_black,"./icons/PNGs/Vent black.png","Vent black"
vent,"./icons/PNGs/Vent.png","Vent"
video_black,"./icons/PNGs/Video black.png","Video black"
video,"./icons/PNGs/Video.png","Video"
webinar_black,"./icons/PNGs/Webinar black.png","Webinar black"
webinar,"./icons/PNGs/Webinar.png","Webinar"
wifi_black,"./icons/PNGs/Wifi black.png","Wifi black"
wifi,"./icons/PNGs/Wifi.png","Wifi"
wind_turbine,"./icons/PNGs/Wind-Turbine.png","Wind Turbine"
windmill,"./icons/PNGs/Windmill.png","Windmill"
zero_downtime,"./icons/PNGs/Zero Downtime.png","Zero Downtime"
authorzation_1,"./icons/PNGs/authorzation (1).png","authorzation (1)"
authorzation,"./icons/PNGs/authorzation.png","authorzation"
book_black,"./icons/PNGs/book black.png","book black"
connection_per_vehicle,"./icons/PNGs/connection-per-vehicle.png","connection per vehicle"
control_data,"./icons/PNGs/control-data.png","control data"
cost_material_down,"./icons/PNGs/cost-material-down.png","cost material down"
digital_twin,"./icons/PNGs/digital-twin.png","digital twin"
drone_oil_and_gas,"./icons/PNGs/drone-oil-and-gas.png","drone oil and gas"
number_of_vehicle,"./icons/PNGs/number-of-vehicle.png","number of vehicle"
operational_efficiency,"./icons/PNGs/operational-efficiency.png","operational efficiency"
overall_equipment_efficiency,"./icons/PNGs/overall-equipment-efficiency.png","overall equipment efficiency"
product_service_quality,"./icons/PNGs/product-service-quality.png","product service quality"
